,mll_annotation,prediction,ID,im_tiffname
77,typical lymphocyte,typical lymphocyte,SBY,419.TIF
78,myeloblast,myeloblast,UVT,371.TIF
79,other,other,PKC,085.TIF
80,reactive lymphocyte,myeloblast,UGU,437.TIF
81,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,451.TIF
82,myeloblast,myeloblast,SBY,475.TIF
83,myeloblast,myeloblast,SBY,201.TIF
84,cup-like blast,myeloblast,SBY,055.TIF
85,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,072.TIF
86,myeloblast,myeloblast,UVT,411.TIF
87,typical lymphocyte,typical lymphocyte,BHS,004.TIF
88,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,354.TIF
89,myeloblast,atypical promyelocyte,BHS,363.TIF
90,typical lymphocyte,typical lymphocyte,SBY,398.TIF
91,normo,normo,PKC,452.TIF
92,other,basophil granulocyte,SBY,405.TIF
93,large granulated lymphocyte,large granulated lymphocyte,UGU,487.TIF
94,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,423.TIF
95,other,other,UVT,376.TIF
96,atypical promyelocyte,atypical promyelocyte,BHS,275.TIF
97,myeloblast,atypical promyelocyte,BHS,374.TIF
98,myeloblast,atypical promyelocyte,BHS,178.TIF
99,other,basophil granulocyte,UGU,325.TIF
100,monocyte,myeloblast,UVT,496.TIF
101,typical lymphocyte,typical lymphocyte,UVT,008.TIF
102,large granulated lymphocyte,other,BHS,168.TIF
103,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,242.TIF
104,atypical promyelocyte,atypical promyelocyte,BHS,099.TIF
105,myeloblast,myeloblast,SBY,262.TIF
106,typical lymphocyte,other,BHS,387.TIF
107,normo,normo,UVT,426.TIF
108,atypical promyelocyte,atypical promyelocyte,PKC,331.TIF
109,neutrophil granulocyte (segmented),basophil granulocyte,UGU,144.TIF
110,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,003.TIF
111,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,371.TIF
112,myeloblast,neoplastic lymphocyte,SBY,313.TIF
113,other,smudge cell,UVT,033.TIF
114,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,170.TIF
115,other,other,UVT,061.TIF
116,other,normo,PKC,260.TIF
117,myeloblast,myeloblast,SBY,350.TIF
118,monocyte,atypical promyelocyte,SBY,483.TIF
119,other,promyelocyte,PKC,213.TIF
120,monocyte,plasma cell,BHS,274.TIF
121,typical lymphocyte,typical lymphocyte,SBY,168.TIF
122,other,smudge cell,SBY,183.TIF
123,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,063.TIF
124,myeloblast,myeloblast,UGU,450.TIF
125,cup-like blast,myeloblast,BHS,104.TIF
126,"atypical promyelocyte, bilobed",reactive lymphocyte,SBY,393.TIF
127,myeloblast,myeloblast,SBY,238.TIF
128,myeloblast,myeloblast,UGU,385.TIF
129,"atypical promyelocyte, bilobed",mononucleosis,SBY,028.TIF
130,myeloblast,mononucleosis,UVT,469.TIF
131,reactive lymphocyte,typical lymphocyte,UGU,173.TIF
132,myeloblast,myeloblast,UGU,495.TIF
133,myeloblast,myeloblast,UGU,175.TIF
134,myeloblast,myeloblast,UGU,067.TIF
135,ambiguous,myeloblast,SBY,240.TIF
136,neutrophil granulocyte (band),neutrophil granulocyte (segmented),UGU,412.TIF
137,monocyte,monocyte,PKC,493.TIF
138,atypical promyelocyte,myeloblast,UVT,048.TIF
139,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,357.TIF
140,normo,normo,PKC,201.TIF
141,other,smudge cell,SBY,103.TIF
142,myeloblast,myeloblast,UVT,142.TIF
143,ambiguous,large granulated lymphocyte,SBY,071.TIF
144,myeloblast,atypical promyelocyte,BHS,009.TIF
145,myeloblast,myeloblast,UVT,067.TIF
146,other,metamyelocyte,BHS,010.TIF
147,myeloblast,atypical promyelocyte,SBY,041.TIF
148,other,neutrophil granulocyte (segmented),UGU,427.TIF
149,ambiguous,eosinophil granulocyte,SBY,022.TIF
150,monocyte,neutrophil granulocyte (band),PKC,438.TIF
151,large granulated lymphocyte,large granulated lymphocyte,UGU,109.TIF
152,myeloblast,myeloblast,SBY,421.TIF
153,myeloblast,myeloblast,UVT,441.TIF
154,ambiguous,myeloblast,SBY,442.TIF
155,atypical promyelocyte,basophil granulocyte,PKC,274.TIF
156,typical lymphocyte,typical lymphocyte,SBY,401.TIF
157,myeloblast,myeloblast,UGU,433.TIF
158,myeloblast,myeloblast,UGU,110.TIF
159,other,other,PKC,215.TIF
160,other,smudge cell,UVT,174.TIF
161,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,442.TIF
162,normo,normo,PKC,221.TIF
163,myeloblast,myeloblast,UVT,196.TIF
164,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,308.TIF
165,faggot cell,atypical promyelocyte,BHS,200.TIF
166,myeloblast,myeloblast,SBY,014.TIF
167,other,other,UGU,016.TIF
168,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,153.TIF
169,atypical promyelocyte,basophil granulocyte,PKC,132.TIF
170,other,normo,PKC,016.TIF
171,atypical promyelocyte,atypical promyelocyte,BHS,049.TIF
172,other,other,BHS,236.TIF
173,monocyte,large granulated lymphocyte,UGU,262.TIF
174,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,334.TIF
175,monocyte,monocyte,PKC,104.TIF
176,ambiguous,myeloblast,UVT,491.TIF
177,other,typical lymphocyte,BHS,436.TIF
178,ambiguous,myeloblast,SBY,415.TIF
179,ambiguous,myeloblast,SBY,141.TIF
180,myeloblast,mononucleosis,SBY,118.TIF
181,myeloblast,myeloblast,SBY,444.TIF
182,other,other,UVT,444.TIF
183,reactive lymphocyte,typical lymphocyte,UGU,378.TIF
184,myeloblast,myeloblast,SBY,406.TIF
185,monocyte,typical lymphocyte,UGU,049.TIF
186,myeloblast,myeloblast,SBY,013.TIF
187,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,378.TIF
188,typical lymphocyte,typical lymphocyte,SBY,300.TIF
189,myeloblast,myeloblast,SBY,145.TIF
190,myeloblast,myeloblast,SBY,192.TIF
191,other,other,BHS,126.TIF
192,other,metamyelocyte,BHS,072.TIF
193,other,other,PKC,257.TIF
194,typical lymphocyte,typical lymphocyte,UGU,178.TIF
195,atypical promyelocyte,atypical promyelocyte,PKC,352.TIF
196,other,other,PKC,095.TIF
197,myeloblast,myeloblast,UVT,345.TIF
198,myeloblast,myeloblast,UVT,435.TIF
199,typical lymphocyte,typical lymphocyte,UVT,259.TIF
200,other,smudge cell,UVT,178.TIF
201,other,smudge cell,UVT,363.TIF
202,atypical promyelocyte,atypical promyelocyte,BHS,272.TIF
203,other,other,PKC,087.TIF
204,other,plasma cell,BHS,206.TIF
205,monocyte,monocyte,PKC,008.TIF
206,other,smudge cell,BHS,318.TIF
207,typical lymphocyte,typical lymphocyte,BHS,352.TIF
208,myeloblast,myeloblast,UVT,294.TIF
209,reactive lymphocyte,large granulated lymphocyte,UGU,236.TIF
210,typical lymphocyte,typical lymphocyte,UGU,065.TIF
211,neutrophil granulocyte (band),neutrophil granulocyte (band),BHS,195.TIF
212,typical lymphocyte,typical lymphocyte,SBY,288.TIF
213,other,other,UGU,410.TIF
214,atypical promyelocyte,atypical promyelocyte,BHS,333.TIF
215,normo,normo,SBY,178.TIF
216,myeloblast,myeloblast,SBY,189.TIF
217,other,smudge cell,UVT,261.TIF
218,myeloblast,typical lymphocyte,SBY,248.TIF
219,neutrophil granulocyte (segmented),large granulated lymphocyte,UGU,285.TIF
220,myeloblast,myeloblast,UVT,044.TIF
221,other,smudge cell,UVT,312.TIF
222,typical lymphocyte,typical lymphocyte,UGU,078.TIF
223,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,098.TIF
224,typical lymphocyte,metamyelocyte,BHS,074.TIF
225,typical lymphocyte,typical lymphocyte,UVT,386.TIF
226,myeloblast,myeloblast,UGU,252.TIF
227,other,metamyelocyte,PKC,349.TIF
228,monocyte,atypical promyelocyte,BHS,306.TIF
229,monocyte,myeloblast,UVT,041.TIF
230,cup-like blast,myeloblast,UVT,266.TIF
231,large granulated lymphocyte,typical lymphocyte,SBY,024.TIF
232,monocyte,other,BHS,119.TIF
233,other,smudge cell,BHS,061.TIF
234,promonocyte,mononucleosis,UVT,042.TIF
235,other,myeloblast,UVT,218.TIF
236,monocyte,monocyte,BHS,143.TIF
237,monocyte,monocyte,SBY,416.TIF
238,other,smudge cell,UGU,297.TIF
239,typical lymphocyte,typical lymphocyte,UGU,390.TIF
240,other,smudge cell,UVT,360.TIF
241,monocyte,typical lymphocyte,UGU,177.TIF
242,other,smudge cell,PKC,111.TIF
243,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,286.TIF
244,metamyelocyte,typical lymphocyte,UGU,353.TIF
245,myeloblast,myeloblast,UGU,417.TIF
246,typical lymphocyte,typical lymphocyte,BHS,183.TIF
247,myeloblast,myeloblast,SBY,364.TIF
248,monocyte,large granulated lymphocyte,UGU,232.TIF
249,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,036.TIF
250,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,230.TIF
251,myeloblast,typical lymphocyte,UGU,284.TIF
252,other,other,PKC,239.TIF
253,large granulated lymphocyte,large granulated lymphocyte,BHS,118.TIF
254,myeloblast,myeloblast,SBY,129.TIF
255,myeloblast,atypical promyelocyte,BHS,212.TIF
256,other,other,PKC,265.TIF
257,neutrophil granulocyte (band),neutrophil granulocyte (band),BHS,345.TIF
258,typical lymphocyte,typical lymphocyte,UGU,114.TIF
259,monocyte,other,BHS,378.TIF
260,other,other,UGU,103.TIF
261,atypical promyelocyte,atypical promyelocyte,BHS,152.TIF
262,other,other,BHS,422.TIF
263,atypical promyelocyte,atypical promyelocyte,BHS,125.TIF
264,myeloblast,myeloblast,UGU,471.TIF
265,monocyte,mononucleosis,SBY,395.TIF
266,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,043.TIF
267,atypical promyelocyte,atypical promyelocyte,BHS,466.TIF
268,typical lymphocyte,basophil granulocyte,BHS,415.TIF
269,monocyte,neutrophil granulocyte (band),BHS,213.TIF
270,monocyte,neutrophil granulocyte (segmented),UGU,318.TIF
271,monocyte,basophil granulocyte,BHS,135.TIF
272,monocyte,large granulated lymphocyte,BHS,023.TIF
273,monocyte,monocyte,SBY,084.TIF
274,ambiguous,myeloblast,SBY,210.TIF
275,myeloblast,atypical promyelocyte,SBY,311.TIF
276,myeloblast,myeloblast,SBY,203.TIF
277,typical lymphocyte,typical lymphocyte,UGU,324.TIF
278,other,smudge cell,UVT,211.TIF
279,myeloblast,myeloblast,UVT,422.TIF
280,monocyte,large granulated lymphocyte,UGU,455.TIF
281,cup-like blast,myeloblast,SBY,369.TIF
282,monocyte,neutrophil granulocyte (band),SBY,032.TIF
283,other,other,SBY,198.TIF
284,monocyte,myeloblast,SBY,278.TIF
285,neutrophil granulocyte (band),neutrophil granulocyte (segmented),UGU,389.TIF
286,other,smudge cell,BHS,307.TIF
287,large granulated lymphocyte,large granulated lymphocyte,UGU,240.TIF
288,myeloblast,myeloblast,SBY,413.TIF
289,normo,normo,PKC,225.TIF
290,myeloblast,myeloblast,SBY,432.TIF
291,monocyte,other,BHS,299.TIF
292,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,249.TIF
293,myeloblast,atypical promyelocyte,BHS,115.TIF
294,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,494.TIF
295,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,469.TIF
296,typical lymphocyte,typical lymphocyte,SBY,323.TIF
297,myeloblast,myeloblast,SBY,153.TIF
298,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,116.TIF
299,atypical promyelocyte,atypical promyelocyte,BHS,375.TIF
300,atypical promyelocyte,atypical promyelocyte,PKC,304.TIF
301,typical lymphocyte,typical lymphocyte,PKC,368.TIF
302,neutrophil granulocyte (segmented),neutrophil granulocyte (band),UGU,131.TIF
303,other,other,SBY,222.TIF
304,other,smudge cell,UVT,387.TIF
305,myeloblast,myeloblast,UVT,480.TIF
306,typical lymphocyte,typical lymphocyte,SBY,194.TIF
307,monocyte,mononucleosis,SBY,221.TIF
308,neutrophil granulocyte (segmented),neutrophil granulocyte (band),BHS,065.TIF
309,other,other,PKC,244.TIF
310,other,smudge cell,BHS,264.TIF
311,myeloblast,myeloblast,UGU,176.TIF
312,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,021.TIF
313,promonocyte,myeloblast,SBY,236.TIF
314,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,235.TIF
315,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,476.TIF
316,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,099.TIF
317,other,smudge cell,UVT,455.TIF
318,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,405.TIF
319,other,other,UVT,096.TIF
320,ambiguous,myeloblast,UVT,073.TIF
321,monocyte,metamyelocyte,BHS,245.TIF
322,atypical promyelocyte,atypical promyelocyte,PKC,316.TIF
323,typical lymphocyte,typical lymphocyte,UVT,352.TIF
324,myeloblast,myeloblast,SBY,334.TIF
325,atypical promyelocyte,atypical promyelocyte,BHS,364.TIF
326,neutrophil granulocyte (band),neutrophil granulocyte (segmented),BHS,366.TIF
327,myeloblast,mononucleosis,SBY,186.TIF
328,other,other,BHS,282.TIF
329,other,smudge cell,UVT,488.TIF
330,typical lymphocyte,typical lymphocyte,UGU,306.TIF
331,other,smudge cell,UVT,246.TIF
332,normo,normo,UVT,417.TIF
333,atypical promyelocyte,atypical promyelocyte,PKC,204.TIF
334,normo,normo,UVT,129.TIF
335,typical lymphocyte,other,BHS,252.TIF
336,other,other,BHS,121.TIF
337,myeloblast,myeloblast,UVT,404.TIF
338,typical lymphocyte,typical lymphocyte,UGU,260.TIF
339,other,smudge cell,PKC,494.TIF
340,myeloblast,myeloblast,UVT,077.TIF
341,typical lymphocyte,typical lymphocyte,SBY,376.TIF
342,monocyte,monocyte,BHS,402.TIF
343,myeloblast,myeloblast,SBY,059.TIF
344,myeloblast,myeloblast,SBY,115.TIF
345,myeloblast,myeloblast,UVT,176.TIF
346,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,085.TIF
347,other,basophil granulocyte,BHS,148.TIF
348,myeloblast,myeloblast,UGU,166.TIF
349,normo,normo,UVT,448.TIF
350,other,other,BHS,033.TIF
351,monocyte,atypical promyelocyte,PKC,317.TIF
352,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,211.TIF
353,myeloblast,myeloblast,SBY,140.TIF
354,reactive lymphocyte,large granulated lymphocyte,UGU,221.TIF
355,monocyte,basophil granulocyte,UVT,336.TIF
356,myeloblast,myeloblast,UVT,128.TIF
357,myeloblast,myeloblast,SBY,358.TIF
358,myeloblast,myeloblast,SBY,426.TIF
359,myeloblast,atypical promyelocyte,BHS,037.TIF
360,myeloblast,mononucleosis,UGU,210.TIF
361,other,other,BHS,062.TIF
362,other,other,PKC,448.TIF
363,atypical promyelocyte,atypical promyelocyte,BHS,251.TIF
364,promonocyte,myeloblast,UVT,040.TIF
365,promonocyte,mononucleosis,UGU,352.TIF
366,myeloblast,myeloblast,UVT,228.TIF
367,normo,normo,UVT,131.TIF
368,monocyte,monocyte,SBY,354.TIF
369,other,other,SBY,424.TIF
370,typical lymphocyte,typical lymphocyte,UVT,390.TIF
371,myeloblast,myeloblast,UVT,421.TIF
372,other,normo,SBY,255.TIF
373,other,other,BHS,287.TIF
374,monocyte,typical lymphocyte,UVT,190.TIF
375,monocyte,other,BHS,463.TIF
376,monocyte,metamyelocyte,BHS,255.TIF
377,monocyte,monocyte,SBY,368.TIF
378,other,metamyelocyte,PKC,143.TIF
379,typical lymphocyte,myeloblast,SBY,359.TIF
380,monocyte,myeloblast,PKC,341.TIF
381,"atypical promyelocyte, bilobed",myeloblast,SBY,462.TIF
382,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,286.TIF
383,myeloblast,myeloblast,UGU,062.TIF
384,monocyte,other,BHS,160.TIF
385,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,415.TIF
386,other,other,SBY,276.TIF
387,myeloblast,myeloblast,SBY,404.TIF
388,neutrophil granulocyte (segmented),neutrophil granulocyte (band),BHS,070.TIF
389,other,other,PKC,092.TIF
390,myeloblast,myeloblast,UVT,285.TIF
391,metamyelocyte,metamyelocyte,UGU,380.TIF
392,myeloblast,myeloblast,SBY,044.TIF
393,typical lymphocyte,typical lymphocyte,UGU,095.TIF
394,other,other,BHS,189.TIF
395,monocyte,atypical promyelocyte,BHS,230.TIF
396,atypical promyelocyte,atypical promyelocyte,BHS,412.TIF
397,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,188.TIF
398,monocyte,other,BHS,309.TIF
399,other,other,PKC,227.TIF
400,other,smudge cell,UVT,359.TIF
401,monocyte,atypical promyelocyte,UGU,225.TIF
402,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,461.TIF
403,myeloblast,myeloblast,UVT,449.TIF
404,monocyte,large granulated lymphocyte,UGU,280.TIF
405,monocyte,mononucleosis,SBY,003.TIF
406,myeloblast with auer rod,atypical promyelocyte,BHS,120.TIF
407,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,034.TIF
408,large granulated lymphocyte,typical lymphocyte,UVT,460.TIF
409,monocyte,basophil granulocyte,BHS,017.TIF
410,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,224.TIF
411,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,400.TIF
412,myeloblast,atypical promyelocyte,PKC,180.TIF
413,promonocyte,myeloblast,SBY,344.TIF
414,neutrophil granulocyte (band),metamyelocyte,UGU,314.TIF
415,myeloblast,atypical promyelocyte,BHS,015.TIF
416,large granulated lymphocyte,large granulated lymphocyte,UGU,000.TIF
417,myeloblast,myeloblast,UVT,160.TIF
418,reactive lymphocyte,mononucleosis,UGU,161.TIF
419,reactive lymphocyte,large granulated lymphocyte,UGU,294.TIF
420,other,other,PKC,197.TIF
421,typical lymphocyte,typical lymphocyte,UGU,401.TIF
422,myeloblast,myeloblast,SBY,257.TIF
423,other,typical lymphocyte,UGU,238.TIF
424,neutrophil granulocyte (segmented),neutrophil granulocyte (band),PKC,142.TIF
425,myeloblast,myeloblast,UGU,452.TIF
426,myeloblast,myeloblast,PKC,482.TIF
427,other,other,UVT,305.TIF
428,atypical promyelocyte,atypical promyelocyte,BHS,327.TIF
429,ambiguous,myeloblast,SBY,249.TIF
430,other,other,BHS,222.TIF
431,typical lymphocyte,typical lymphocyte,BHS,314.TIF
432,myeloblast,myeloblast,UGU,438.TIF
433,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,088.TIF
434,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,015.TIF
435,other,other,BHS,484.TIF
436,myeloblast,typical lymphocyte,UVT,289.TIF
437,normo,normo,PKC,113.TIF
438,other,other,PKC,305.TIF
439,other,neutrophil granulocyte (segmented),UVT,198.TIF
440,other,neutrophil granulocyte (segmented),UGU,253.TIF
441,myeloblast,myeloblast,UVT,112.TIF
442,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,476.TIF
443,other,atypical promyelocyte,BHS,228.TIF
444,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,315.TIF
445,other,other,PKC,323.TIF
446,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,356.TIF
447,other,other,UVT,320.TIF
448,atypical promyelocyte,atypical promyelocyte,BHS,457.TIF
449,reactive lymphocyte,typical lymphocyte,UGU,028.TIF
450,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,268.TIF
451,cup-like blast,myeloblast,UGU,322.TIF
452,promonocyte,myeloblast,SBY,050.TIF
453,myeloblast,mononucleosis,UVT,457.TIF
454,myeloblast,myeloblast,SBY,136.TIF
455,reactive lymphocyte,typical lymphocyte,UVT,479.TIF
456,ambiguous,myeloblast,UVT,064.TIF
457,other,other,PKC,248.TIF
458,other,other,UVT,224.TIF
459,other,atypical promyelocyte,PKC,234.TIF
460,other,myelocyte,PKC,262.TIF
461,atypical promyelocyte,myeloblast,UVT,407.TIF
462,myeloblast,myeloblast,SBY,069.TIF
463,monocyte,other,BHS,265.TIF
464,normo,normo,UVT,304.TIF
465,promonocyte,myeloblast,UVT,372.TIF
466,myeloblast,myeloblast,PKC,067.TIF
467,monocyte,basophil granulocyte,BHS,354.TIF
468,myeloblast,myeloblast,SBY,387.TIF
469,other,monocyte,UGU,373.TIF
470,myeloblast,myeloblast,SBY,034.TIF
471,typical lymphocyte,typical lymphocyte,SBY,371.TIF
472,myeloblast,myeloblast,SBY,151.TIF
473,monocyte,monocyte,SBY,386.TIF
474,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,127.TIF
475,myeloblast,myeloblast,SBY,325.TIF
476,myeloblast,atypical promyelocyte,BHS,455.TIF
477,myeloblast,myeloblast,UGU,097.TIF
478,myeloblast,atypical promyelocyte,BHS,188.TIF
479,typical lymphocyte,typical lymphocyte,SBY,195.TIF
480,myeloblast,myeloblast,UVT,492.TIF
481,monocyte,metamyelocyte,BHS,139.TIF
482,monocyte,myeloblast,SBY,361.TIF
483,myeloblast,atypical promyelocyte,PKC,397.TIF
484,other,other,UVT,127.TIF
485,atypical promyelocyte,atypical promyelocyte,BHS,024.TIF
486,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,046.TIF
487,other,other,BHS,441.TIF
488,myeloblast,atypical promyelocyte,BHS,182.TIF
489,monocyte,metamyelocyte,PKC,470.TIF
490,monocyte,other,BHS,097.TIF
491,atypical promyelocyte,atypical promyelocyte,BHS,331.TIF
492,monocyte,monocyte,SBY,122.TIF
493,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,473.TIF
494,other,other,UVT,001.TIF
495,myeloblast,myeloblast,UVT,069.TIF
496,other,smudge cell,UVT,206.TIF
497,myeloblast,atypical promyelocyte,BHS,417.TIF
498,reactive lymphocyte,mononucleosis,UGU,432.TIF
499,other,other,BHS,263.TIF
500,neutrophil granulocyte (band),neutrophil granulocyte (segmented),UVT,284.TIF
501,cup-like blast,myeloblast,UVT,220.TIF
502,monocyte,typical lymphocyte,UGU,071.TIF
503,other,smudge cell,SBY,469.TIF
504,atypical promyelocyte,myeloblast,UVT,034.TIF
505,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,337.TIF
506,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,107.TIF
507,neutrophil granulocyte (band),neutrophil granulocyte (band),BHS,022.TIF
508,myeloblast,myeloblast,SBY,156.TIF
509,other,large granulated lymphocyte,UGU,208.TIF
510,promonocyte,myeloblast,SBY,245.TIF
511,other,smudge cell,UGU,212.TIF
512,metamyelocyte,neutrophil granulocyte (band),UGU,491.TIF
513,other,other,BHS,138.TIF
514,other,other,SBY,287.TIF
